Activity Time(s),Activity (Bq/ml)
133.8,6.79028927927498
134.4,6.78097140748901
135,6.77167883858577
135.6,6.76241150032473
136.2,6.75316932068667
136.8,6.74395222787151
137.4,6.73476015029632
138,6.72559301659348
138.6,6.71645075560892
139.2,6.70733329640059
139.8,6.69824056823688
140.4,6.68917250059528
141,6.68012902316105
141.6,6.67111006582594
142.2,6.66211555868707
142.8,6.65314543204581
143.4,6.64419961640668
144,6.63527804247642
144.6,6.62638064116299
145.2,6.61750734357465
145.8,6.60865808101913
146.4,6.5998327850027
147,6.59103138722946
147.6,6.58225381960046
148.2,6.573500014213
148.8,6.56476990335986
149.4,6.5560634195286
150,6.54738049540084
150.6,6.53872106385158
151.2,6.53008505794854
151.8,6.52147241095151
152.4,6.51288305631169
153,6.50431692767105
153.6,6.49577395886176
154.2,6.4872540839055
154.8,6.47875723701293
155.4,6.47028335258307
156,6.46183236520269
156.6,6.45340420964575
157.2,6.44499882087283
157.8,6.43661613403055
158.4,6.42825608445101
159,6.41991860765123
159.6,6.4116036393326
160.2,6.40331111538033
160.8,6.3950409718629
161.4,6.3867931450315
162,6.37856757131954
162.6,6.37036418734206
163.2,6.36218292989524
163.8,6.35402373595584
164.4,6.34588654268068
